offerFulfillmentId,accountId,tsysAccountId,offerTriggerId,periodStartTimestamp,periodEndTimestamp,trackerType,status,currentValue,targetValue,points,fulfilledTimestamp,fulfilledTransactionId,createTimestamp,createUserId,updateTimestamp,updateUserId,eventType
-191,11618188,8933966,67,2025-09-23 00:00:00,2025-12-23 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-192,11618952,8934533,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-193,11619047,8934614,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-194,11619145,8934705,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-195,11619484,8934990,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-196,11619681,8935159,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-197,11619707,8935184,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-198,11619774,8935241,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-199,11619816,8935278,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-200,11619857,8935312,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-201,11620373,8935354,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-202,11622126,8935400,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-203,11619989,8935431,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-204,11620199,8935590,67,2025-09-24 00:00:00,2025-12-24 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-205,11620519,8935814,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-206,11620606,8935880,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-207,11620778,8936022,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-208,11620847,8936072,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
