RAIL_TYPE,INITIATOR,TRANSACTION_CATEGORY,TRANSACTION_CD,DP_REF_NO,MERCHANT_CATEGORY,TERMINAL_ENTRY,TRANSACTION_METHOD,TRANSACTION_TYPE,TRANSACTION_DESC,TERMS_BALANCE_CD,CLASS_CD,CREATE_DT,CREATE_USER_ID,CREATE_FUNCTION_NAME,UPDATE_DT,UPDATE_USER_ID,UPDATE_FUNCTION_NAME
FEE,NA,0039,7094,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Assisted Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0039,7098,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Assisted Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0032,0355,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Paper Statement Request Fee,1003 - FE,,,,,,,
FEE,NA,0032,0361,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Paper Statement Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0032,0356,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Paper Statement Fee Adjustment- Debit,1003 - FE,,,,,,,
FEE,NA,0028,7295,98,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Interac eTransfer Cancelation Fee,1003 - FE,,,,,,,
FEE,NA,0028,0735,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - eTransfer Cancelation Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0028,0734,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - eTransfer Cancelation Fee Adjustment - Debit,1003 - FE,,,,,,,
INSE,PCB,0001,0101,25,,,ONLINE_BANKING,INTERAC_DEBIT,Funds Out - Interac eTransfer Sent,1001 - PR,,,,,,,
INSE,PCB,0001,0160,25,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Interac eTransfer Adjustment - Credit,1001 - PR,,,,,,,
INSE,PCB,0001,0130,25,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Interac eTransfer Adjustment - Debit,1001 - PR,,,,,,,
INRC,EXTERNAL,0019,0108,26,,,ONLINE_BANKING,INTERAC_CREDIT,Funds In - Interac eTransfer Received,NA,,,,,,,
INRC,EXTERNAL,0019,0150,26,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Interac eTransfer Adjustment - Debit,NA,,,,,,,
INRR,EXTERNAL,0019,0108,55,,,ONLINE_BANKING,INTERAC_CREDIT,Funds In - Interac eTransfer Received (Request Fulfilled),NA,,,,,,,
INRR,EXTERNAL,0019,0150,55,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Interac eTransfer Adjustment - Debit,NA,,,,,,,
INCA,EXTERNAL,0019,0108,28,,,ONLINE_BANKING,INTERAC_CREDIT,Funds In - Interac eTransfer Cancellation,1001 - PR,,,,,,,
INAR,EXTERNAL,0019,0108,54,,,ONLINE_BANKING,INTERAC_CREDIT,Funds In - Interac eTransfer Reclaim,1001 - PR,,,,,,,
INMR,PCB,0001,0101,58,,,ONLINE_BANKING,INTERAC_DEBIT,Funds Out - Interac Fulfill Money Request (Fulfill a request),1001 - PR,,,,,,,
INMR,PCB,0001,0160,58,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Interac Fulfil Money Adjustment - Credit,1001 - PR,,,,,,,
INMR,PCB,0001,0130,58,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Interac Fulfil Money Adjustment - Debit,1001 - PR,,,,,,,
INAD,EXTERNAL,0019,0108,30,,,ONLINE_BANKING,INTERAC_CREDIT,Funds In - Interac Auto Deposit,NA,,,,,,,
INAD,EXTERNAL,0019,0150,30,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Interac Auto Deposit Adjustment - Debit,NA,,,,,,,
FEE,NA,0001,0403,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Overdraft Interest,NA,,,,,,,
FEE,NA,0001,0162,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - OD Interest Adjustment - Credit,NA,,,,,,,
FEE,NA,0001,0132,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - OD Interest Adjustment - Debit,NA,,,,,,,
MCBR,PCB,0019,0108,57,,,ONLINE_BANKING,INTERNAL_CREDIT,Funds In - Credit Balance Refund PCMC to PCMA (Internal),NA,,,,,,,
MCBR,PCB,0019,0150,57,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - CBR to PCMA Adjustment - Debit,NA,,,,,,,
MMOV,PCB,0020,0145,32,,,ONLINE_BANKING,INTERNAL_DEBIT,Funds Out - PCMC Payment (Transfer Out from PCMA to PCMC) - PCMA to PCMC,1001 - PR,,,,,,,
MMOV,PCB,0020,0175,32,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - PCMC Payment Adjustment - Credit,1001 - PR,,,,,,,
MMOV,PCB,0020,0298,32,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds In - PCMC Payment Adjustment - Debit,1001 - PR,,,,,,,
MVMN,PCB,0001,0101,33,,,ONLINE_BANKING,INTERNAL_DEBIT,Funds Out - Account Transfer out - PCMA to PCMA,1001 - PR,,,,,,,
MVMN,PCB,0001,0106,33,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Account Transfer out Adjustment - Credit,1001 - PR,,,,,,,
MVMN,PCB,0001,0130,33,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Account Transfer out Adjustment - Debit,1001 - PR,,,,,,,
MVMN,PCB,0019,0108,34,,,ONLINE_BANKING,INTERNAL_CREDIT,Funds In - Account Transfer In - Move Money,NA,,,,,,,
MVMN,PCB,0019,0150,34,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Account Transfer in Adjustment - Debit,NA,,,,,,,
MVMN,PCB,0001,0101,52,,,ONLINE_BANKING,INTERNAL_DEBIT,Funds Out - Goal Funding (Transfer Out from the Primary Account),1001 - PR,,,,,,,
MVMN,PCB,0001,0106,52,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Goal Funding Adjustment - Credit,1001 - PR,,,,,,,
MVMN,PCB,0001,0130,52,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Goal Funding out Adjustment - Debit,1001 - PR,,,,,,,
MVMN,PCB,0019,0108,53,,,ONLINE_BANKING,INTERNAL_CREDIT,Funds In - Goal Withdrawal (Transfer Into the Primary Account),NA,,,,,,,
MVMN,PCB,0019,0150,53,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Goal Withdrawal Adjustment - Debit,NA,,,,,,,
MVMN,PCB,0001,0101,60,,,ONLINE_BANKING,INTERNAL_DEBIT,Funds Out - Internal Transfer PCMA/Goal to Savings,1001 - PR,,,,,,,
MVMN,PCB,0019,0108,61,,,ONLINE_BANKING,INTERNAL_CREDIT,Funds In - Internal Transfer Savings to PCMA,1001 - PR,,,,,,,
NA,NA,0001,0101,36,,,ONLINE_BANKING,INTERNAL_DEBIT,Funds Out - P2P Transfer Out - Day 2,1001 - PR,,,,,,,
NA,NA,0001,0160,36,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - P2P Transfer Out Adjustment - Credit,1001 - PR,,,,,,,
